Reg,Bank,Status,Year,Н1.0,ROE,Loans,Securities,Deposits,Equity,EBT,H4,ROA,Overdue_debt_ratio,Hedge_indicator,
1,"ЮНИКРЕДИТ БАНК, АО",Active,2016,16.66%,4.83%,"921,083,681,000","93,121,295,000","636,853,152,000","179,247,023,000","18,962,246,000",58.81%,0.62%,6.65%,1,
1,"ЮНИКРЕДИТ БАНК, АО",Active,2017,18.16%,10.12%,"954,325,113,000",130,"655,682,269,000","200,874,717,000","36,660,927,000",64.48%,1.61%,5.27%,1,
1,"ЮНИКРЕДИТ БАНК, АО",Active,2018,16.15%,7.14%,"1,200,867,676,000","58,673,622,000","872,962,626,000","217,303,893,000","24,334,838,000",52.35%,1.14%,3.75%,1,
1,"ЮНИКРЕДИТ БАНК, АО",Active,2019,17.84%,3.44%,"966,876,742,000","139,049,786,000","729,014,882,000","219,142,203,000","13,362,967,000",44.41%,0.52%,3.49%,1,
1,"ЮНИКРЕДИТ БАНК, АО",Active,2020,18.89%,4.28%,"1,011,660,566,000","116,069,177,000","752,408,558,000","208,660,634,000","12,030,853,000",44.90%,0.61%,4.16%,1,
1,"ЮНИКРЕДИТ БАНК, АО",Active,2021,19.45%,5.29%,"998,631,754,000","101,023,938,000","698,569,826,000","211,266,345,000","19,066,997,000",44.63%,0.83%,2.00%,1,
2,"КАБ ВИКИНГ, АО",Active,2016,37.02%,2.36%,"877,142,000",0,"596,531,000","811,708,000","41,354,000",3.10%,0.80%,7.67%,0,
2,"КАБ ВИКИНГ, АО",Active,2017,26.02%,2.28%,"1,199,983,000",0,"770,969,000","841,162,000","37,826,000",7.15%,0.67%,5.19%,0,
2,"КАБ ВИКИНГ, АО",Active,2018,38.19%,2.92%,"867,808,000",0,"518,810,000","864,272,000","24,876,000",,0.89%,1.05%,0,
2,"КАБ ВИКИНГ, АО",Active,2019,35.76%,-9.32%,"872,026,000",0,"626,268,000","657,992,000","-113,085,000",,-3.31%,8.17%,0,
2,"КАБ ВИКИНГ, АО",Active,2020,34.15%,1.44%,"880,832,000",0,"356,218,000","648,940,000","6,993,000",,0.42%,0.69%,0,
2,"КАБ ВИКИНГ, АО",Active,2021,33.49%,3.98%,"855,450,000",0,"342,425,000","664,609,000","30,385,000",,1.35%,0.43%,0,
21,"ПРИМТЕРКОМБАНК, ООО",Active,2016,38.95%,-0.52%,"295,133,000",0,"475,885,000","347,089,000","1,526,000",38.26%,-0.12%,5.58%,0,
21,"ПРИМТЕРКОМБАНК, ООО",Active,2017,38.09%,-3.89%,"363,048,000",0,"444,310,000","323,964,000","-24,712,000",53.14%,-0.66%,4.17%,0,
21,"ПРИМТЕРКОМБАНК, ООО",Active,2019,23.15%,-0.70%,"790,855,000",0,"555,604,000","317,174,000","-14,715,000",,-0.16%,1.73%,0,
21,"ПРИМТЕРКОМБАНК, ООО",Active,2020,34.01%,1.04%,"936,606,000",0,"332,336,000","555,577,000","8,130,000",,0.21%,1.34%,0,
21,"ПРИМТЕРКОМБАНК, ООО",Active,2021,30.17%,0.12%,"1,219,653,000",0,"619,401,000","564,022,000","8,911,000",,0.04%,1.01%,0,
23,"БАНК АВБ, АО",Inactive,2017,,-2.07%,"100,537,866,000","25,421,709,000","191,941,000","-6,428,879,000","-3,653,317,000",,0.03%,33.68%,0,
23,"БАНК АВБ, АО",Inactive,2018,,95.59%,"346,962,717,000","8,248,115,000","79,976,000","-342,582,911,000","-335,923,762,000",,-49.81%,60.79%,0,
53,"АЛЕКСАНДРОВСКИЙ, ПАО БАНК",Active,2016,12.01%,2.05%,"8,693,332,000","4,565,146,000","7,121,438,000","2,034,964,000","106,732,000",37.13%,0.31%,6.24%,0,
53,"АЛЕКСАНДРОВСКИЙ, ПАО БАНК",Active,2017,14.63%,3.18%,"9,457,923,000","9,417,618,000","10,256,391,000","2,584,886,000","183,530,000",46.72%,0.39%,6.65%,0,
53,"АЛЕКСАНДРОВСКИЙ, ПАО БАНК",Active,2018,14.42%,1.37%,"9,383,259,000","7,649,380,000","10,442,781,000","2,361,508,000","-29,573,000",68.67%,0.16%,3.04%,0,
53,"АЛЕКСАНДРОВСКИЙ, ПАО БАНК",Active,2019,13.91%,2.21%,"8,523,867,000","8,106,996,000","11,483,239,000","2,230,094,000","222,005,000",68.97%,0.26%,4.10%,0,
53,"АЛЕКСАНДРОВСКИЙ, ПАО БАНК",Active,2020,14.75%,4.06%,"7,752,912,000","8,008,728,000","12,286,937,000","2,260,600,000","225,870,000",65.68%,0.49%,7.87%,0,
53,"АЛЕКСАНДРОВСКИЙ, ПАО БАНК",Active,2021,14.57%,0.66%,"7,221,822,000","5,547,284,000","11,011,007,000","2,084,906,000","107,039,000",10.75%,0.08%,5.73%,0,
55,"ТЕМПБАНК, ПАО МАБ",In bankruptcy,2016,8.91%,-27.19%,"13,929,367,000","61,920,000","9,028,523,000","1,404,200,000","-484,653,000",111.76%,-2.37%,6.70%,0,
65,"КОЛЬЦО УРАЛА, ООО КБ",Inactive,2016,17.56%,-1.85%,"17,360,793,000","8,628,213,000","20,924,431,000","4,717,821,000","-536,154,000",27.59%,-0.28%,28.03%,0,
65,"КОЛЬЦО УРАЛА, ООО КБ",Inactive,2017,24.01%,7.14%,"20,199,918,000","9,581,922,000","24,201,150,000","5,274,966,000","634,395,000",13.76%,1.07%,32.28%,0,
65,"КОЛЬЦО УРАЛА, ООО КБ",Inactive,2018,25.12%,11.02%,"16,574,618,000","16,553,672,000","26,676,200,000","6,123,852,000","1,117,007,000",18.20%,1.66%,29.01%,0,
65,"КОЛЬЦО УРАЛА, ООО КБ",Inactive,2019,19.18%,9.80%,"15,696,873,000","16,503,361,000","26,728,998,000","5,774,358,000","1,014,264,000",22.78%,1.60%,17.19%,0,
65,"КОЛЬЦО УРАЛА, ООО КБ",Inactive,2020,19.07%,13.18%,"21,607,584,000","11,890,365,000","28,731,639,000","5,758,852,000","1,300,561,000",23.85%,1.96%,13.42%,0,
65,"КОЛЬЦО УРАЛА, ООО КБ",Inactive,2021,28.15%,11.29%,"6,624,811,000","2,131,000","13,682,772,000","5,195,141,000",0,45.02%,1.53%,2.34%,0,
67,"ЭНЕРГОБАНК (АО), АКБ",Active,2016,23.75%,2.94%,"19,345,342,000","285,389,000","9,483,381,000","4,165,427,000","494,803,000",105.57%,0.52%,3.38%,0,
67,"ЭНЕРГОБАНК (АО), АКБ",Active,2017,24.97%,3.87%,"19,189,891,000","926,935,000","9,398,899,000","4,233,346,000","435,683,000",105.36%,0.67%,4.06%,0,
67,"ЭНЕРГОБАНК (АО), АКБ",Active,2018,31.01%,5.24%,"18,838,656,000","3,146,717,000","8,758,169,000","5,262,227,000","815,608,000",84.70%,0.99%,5.32%,0,
67,"ЭНЕРГОБАНК (АО), АКБ",Active,2019,32.10%,12.22%,"18,469,278,000","3,734,413,000","8,246,989,000","5,412,558,000","1,040,097,000",97.05%,2.61%,5.52%,0,
67,"ЭНЕРГОБАНК (АО), АКБ",Active,2020,34.10%,5.73%,"18,835,439,000","3,084,779,000","8,523,227,000","5,701,830,000","829,176,000",84.04%,1.27%,5.58%,0,
67,"ЭНЕРГОБАНК (АО), АКБ",Active,2021,29.25%,5.65%,"21,241,306,000","2,299,273,000","8,598,926,000","6,253,114,000","1,083,941,000",99.35%,1.24%,1.83%,0,
77,МОРСКОЙ БАНК (АО),Active,2016,10.48%,-21.34%,"9,611,033,000","1,920,586,000","9,395,617,000","1,617,190,000","-1,181,234,000",64.91%,-2.69%,6.44%,0,
77,МОРСКОЙ БАНК (АО),Active,2017,13.95%,4.38%,"9,038,957,000","2,090,239,000","8,603,473,000","1,870,372,000","204,093,000",95.93%,0.51%,16.94%,0,
77,МОРСКОЙ БАНК (АО),Active,2018,12.60%,3.77%,"8,593,878,000","3,716,732,000","10,090,249,000","2,007,798,000","278,813,000",37.85%,0.48%,7.16%,0,
77,МОРСКОЙ БАНК (АО),Active,2019,11.73%,-1.07%,"12,501,842,000","909,932,000","10,797,954,000","1,925,765,000","45,255,000",22.50%,-0.13%,8.05%,0,
77,МОРСКОЙ БАНК (АО),Active,2020,11.37%,4.45%,"10,686,747,000","4,283,576,000","8,341,328,000","1,997,108,000","153,953,000",49.32%,0.46%,9.09%,0,
77,МОРСКОЙ БАНК (АО),Active,2021,15.73%,2.50%,"11,817,981,000","3,559,688,000","8,973,433,000","2,478,836,000","128,888,000",36.39%,0.25%,9.64%,0,
85,"САММИТ БАНК, АО КБ",Active,2016,26.88%,1.33%,"906,123,000",0,"900,706,000","329,453,000","10,961,000",32.06%,0.31%,1.99%,0,
85,"САММИТ БАНК, АО КБ",Active,2017,30.66%,1.14%,"779,412,000",0,"708,872,000","327,891,000","-3,003,000",23.95%,0.29%,2.14%,0,
85,"САММИТ БАНК, АО КБ",Active,2018,36.39%,2.34%,"635,058,000",0,"679,424,000","358,397,000","23,691,000",,0.69%,4.14%,0,
85,"САММИТ БАНК, АО КБ",Active,2019,33.06%,3.83%,"755,467,000",0,"673,405,000","365,473,000","22,152,000",,1.18%,2.19%,0,
85,"САММИТ БАНК, АО КБ",Active,2020,37.38%,2.02%,"675,310,000",0,"630,896,000","372,381,000","14,671,000",,0.61%,1.77%,0,
85,"САММИТ БАНК, АО КБ",Active,2021,38.54%,1.16%,"651,047,000",0,"657,350,000","371,589,000","2,229,000",,0.36%,0.33%,0,
96,"КЕМСОЦИНБАНК, АО",In bankruptcy,2016,22.86%,-18.20%,"1,242,284,000","28,538,000","1,323,718,000","369,126,000","-221,718,000",35.13%,-4.02%,1.28%,0,
96,"КЕМСОЦИНБАНК, АО",In bankruptcy,2017,24.92%,39.83%,"1,339,684,000",0,"1,609,441,000","544,933,000","283,084,000",25.68%,9.64%,1.44%,0,
96,"КЕМСОЦИНБАНК, АО",In bankruptcy,2018,22.48%,22.54%,"1,376,757,000",0,"1,686,786,000","600,167,000","48,196,000",0.00%,4.81%,14.10%,0,
101,"БКС БАНК, АО",Active,2016,14.82%,5.83%,"40,790,077,000","7,584,178,000","13,976,394,000","3,151,983,000","263,931,000",1.87%,0.29%,12.91%,0,
101,"БКС БАНК, АО",Active,2017,17.16%,4.18%,"26,424,536,000","18,189,861,000","21,249,234,000","6,238,881,000","498,459,000",3.17%,0.28%,8.86%,0,
101,"БКС БАНК, АО",Active,2018,28.30%,3.55%,"34,498,545,000","13,748,009,000","31,603,758,000","6,857,074,000","462,941,000",4.76%,0.37%,6.46%,0,
101,"БКС БАНК, АО",Active,2019,19.23%,4.12%,"54,067,502,000","9,047,505,000","35,735,504,000","7,387,868,000","939,441,000",6.47%,0.40%,14.80%,0,
101,"БКС БАНК, АО",Active,2020,19.77%,4.54%,"43,227,846,000","8,054,435,000","48,302,319,000","7,273,070,000","554,435,000",5.41%,0.48%,13.43%,0,
101,"БКС БАНК, АО",Active,2021,25.03%,1.94%,"47,000,587,000","5,329,092,000","44,175,963,000","10,703,098,000","549,011,000",7.56%,0.21%,8.09%,0,
103,"РКБ, ООО",Inactive,2017,39.36%,4.85%,"9,570,827,000","100,000,000","3,258,153,000","5,489,578,000","348,539,000",38.50%,1.59%,11.00%,0,
121,"ЦЕНТРОКРЕДИТ, АО АКБ",Active,2016,17.88%,1.05%,"32,720,127,000","33,476,435,000","7,370,796,000","24,252,026,000","-757,867,000",22.74%,0.29%,4.58%,0,
121,"ЦЕНТРОКРЕДИТ, АО АКБ",Active,2017,25.55%,1.39%,"30,354,876,000","47,550,396,000","10,737,495,000","23,868,010,000","440,266,000",10.57%,0.43%,9.50%,0,
121,"ЦЕНТРОКРЕДИТ, АО АКБ",Active,2018,17.64%,2.38%,"36,247,637,000","63,168,592,000","4,776,423,000","21,254,275,000","-1,760,814,000",10.56%,0.58%,9.67%,0,
121,"ЦЕНТРОКРЕДИТ, АО АКБ",Active,2019,27.80%,27.33%,"29,385,408,000","81,637,532,000","16,037,939,000","34,774,825,000","17,993,580,000",11.01%,6.17%,11.94%,0,
121,"ЦЕНТРОКРЕДИТ, АО АКБ",Active,2020,22.46%,-3.99%,"26,322,675,000","78,157,706,000","9,304,682,000","34,653,259,000","2,518,970,000",11.87%,-1.10%,8.65%,1,
121,"ЦЕНТРОКРЕДИТ, АО АКБ",Active,2021,28.91%,-1.81%,"30,879,725,000","47,523,599,000","12,515,814,000","32,406,593,000","1,322,252,000",25.65%,-0.53%,7.53%,1,
128,"БАЛТИЙСКИЙ БАНК, ПАО",Inactive,2016,,,"59,673,915,000","1,219,599,000","75,674,980,000",,"1,290,827,000",,0.54%,83.52%,0,
128,"БАЛТИЙСКИЙ БАНК, ПАО",Inactive,2017,0.00%,6.91%,"52,080,066,000","270,676,000","57,070,403,000","-35,132,840,000","-1,228,784,000",0.00%,-0.63%,123.67%,0,
128,"БАЛТИЙСКИЙ БАНК, ПАО",Inactive,2018,0.00%,3.42%,"55,333,860,000","270,676,000","56,589,278,000","-3,515,088,000","-2,419,747,000",0.00%,-1.37%,160.08%,0,
153,"УРАЛПРИВАТБАНК, АО",Inactive,2016,82.11%,17.72%,"82,822,000",0,"193,485,000","352,217,000","82,318,000",2.52%,8.23%,62.76%,0,
170,"АВТО ФИНАНС БАНК, АО",Active,2016,12.50%,9.44%,"59,378,908,000","202,703,000","12,914,550,000","8,461,335,000","2,353,775,000",77.86%,1.43%,0.67%,0,
170,"АВТО ФИНАНС БАНК, АО",Active,2017,12.57%,15.23%,"71,658,775,000","595,934,000","12,058,812,000","11,238,445,000","3,877,570,000",86.98%,1.96%,1.03%,0,
170,"АВТО ФИНАНС БАНК, АО",Active,2018,15.34%,9.86%,"86,591,502,000","439,780,000","11,707,508,000","16,520,907,000","3,224,062,000",72.37%,1.52%,1.36%,0,
170,"АВТО ФИНАНС БАНК, АО",Active,2019,15.75%,13.34%,"103,850,998,000","1,004,477,000","11,544,144,000","18,958,310,000","5,216,288,000",66.87%,2.26%,1.28%,0,
170,"АВТО ФИНАНС БАНК, АО",Active,2020,19.76%,13.92%,"98,894,490,000","993,084,000","11,416,608,000","23,410,884,000","5,124,427,000",87.72%,2.61%,1.57%,0,
170,"АВТО ФИНАНС БАНК, АО",Active,2021,22.04%,7.31%,"107,784,358,000","948,657,000","5,686,088,000","27,071,091,000","3,547,050,000",90.06%,1.57%,1.83%,1,
197,БАНК МБСП (АО),In bankruptcy,2016,23.73%,-1.61%,"35,779,752,000","11,129,156,000","31,178,611,000","13,989,388,000","-167,833,000",26.97%,-0.39%,4.18%,0,
197,БАНК МБСП (АО),In bankruptcy,2017,17.44%,-1.97%,"27,154,283,000","10,066,112,000","26,911,182,000","7,905,285,000","139,000",62.99%,-0.41%,5.34%,0,
212,ПРИО-ВНЕШТОРГБАНК (ПАО),Active,2016,11.41%,8.55%,"7,902,329,000","678,221,000","8,146,148,000","1,203,008,000","185,704,000",22.01%,0.75%,11.62%,0,
212,ПРИО-ВНЕШТОРГБАНК (ПАО),Active,2017,12.03%,9.77%,"8,574,182,000","808,243,000","9,068,990,000","1,251,798,000","139,570,000",27.65%,0.83%,8.30%,0,
212,ПРИО-ВНЕШТОРГБАНК (ПАО),Active,2018,12.92%,12.17%,"9,142,568,000","1,081,402,000","9,948,326,000","1,368,766,000","290,335,000",20.15%,0.97%,8.35%,0,
212,ПРИО-ВНЕШТОРГБАНК (ПАО),Active,2019,12.02%,53.36%,"9,280,095,000","816,603,000","10,697,864,000","1,335,311,000","280,879,000",24.68%,4.30%,7.50%,0,
212,ПРИО-ВНЕШТОРГБАНК (ПАО),Active,2020,12.46%,8.80%,"10,209,032,000","952,430,000","9,772,788,000","1,497,166,000","96,226,000",24.50%,0.69%,7.36%,0,
212,ПРИО-ВНЕШТОРГБАНК (ПАО),Active,2021,12.35%,14.25%,"12,598,262,000",0,"11,031,852,000","1,760,426,000","506,224,000",30.42%,1.21%,6.14%,0,
232,"БАНК ЗЕНИТ СОЧИ, АО",Inactive,2016,13.54%,13.30%,"3,915,647,000","365,767,000","1,913,563,000","678,400,000","247,314,000",23.43%,1.97%,9.94%,0,
232,"БАНК ЗЕНИТ СОЧИ, АО",Inactive,2017,15.03%,12.57%,"3,346,250,000","816,192,000","2,304,032,000","828,768,000","194,443,000",20.08%,1.81%,6.07%,0,
232,"БАНК ЗЕНИТ СОЧИ, АО",Inactive,2018,25.71%,14.87%,"4,675,725,000","7,800,000","2,620,563,000","1,143,752,000","298,848,000",22.57%,2.51%,9.43%,0,
232,"БАНК ЗЕНИТ СОЧИ, АО",Inactive,2019,31.68%,10.41%,"4,521,446,000",0,"2,333,628,000","1,154,895,000","210,990,000",20.76%,2.13%,17.29%,0,
236,"СПЕЦСТРОЙБАНК, ООО",Active,2016,37.98%,2.28%,"741,150,000",0,"96,646,000","435,455,000","8,377,000",39.16%,1.00%,13.48%,0,
236,"СПЕЦСТРОЙБАНК, ООО",Active,2017,41.82%,1.64%,"824,553,000",0,"147,465,000","440,811,000","8,936,000",34.30%,0.66%,8.72%,0,
236,"СПЕЦСТРОЙБАНК, ООО",Active,2018,43.16%,1.18%,"508,393,000",0,"189,588,000","440,228,000","-9,802,000",0.00%,0.45%,20.94%,0,
236,"СПЕЦСТРОЙБАНК, ООО",Active,2019,46.34%,1.22%,"581,593,000",0,"151,429,000","443,243,000","22,726,000",,0.42%,5.59%,0,
236,"СПЕЦСТРОЙБАНК, ООО",Active,2020,46.24%,-15.44%,"634,838,000",0,"132,781,000","395,712,000","-49,610,000",,-4.90%,12.09%,0,
236,"СПЕЦСТРОЙБАНК, ООО",Active,2021,48.13%,-0.37%,"636,925,000",0,"121,544,000","465,159,000","52,271,000",,-0.12%,3.25%,0,
249,"УРАЛ ФД, АО КБ",Active,2016,12.73%,3.41%,"17,045,095,000","3,076,568,000","16,844,627,000","3,058,380,000","142,126,000",43.58%,0.42%,6.64%,0,
249,"УРАЛ ФД, АО КБ",Active,2017,12.59%,4.14%,"16,011,061,000","4,282,884,000","17,388,847,000","2,977,656,000","139,270,000",42.21%,0.53%,9.39%,0,
249,"УРАЛ ФД, АО КБ",Active,2018,11.55%,2.45%,"16,417,118,000","4,673,276,000","18,077,065,000","3,002,486,000","180,686,000",47.28%,0.28%,9.88%,0,
249,"УРАЛ ФД, АО КБ",Active,2019,10.93%,9.33%,"18,695,868,000","4,247,892,000","19,500,349,000","2,801,457,000","279,008,000",46.17%,1.06%,10.74%,0,
249,"УРАЛ ФД, АО КБ",Active,2020,14.06%,0.94%,"15,216,122,000","2,882,495,000","17,299,267,000","2,762,656,000","110,013,000",38.90%,0.10%,15.43%,0,
249,"УРАЛ ФД, АО КБ",Active,2021,18.81%,7.14%,"12,942,828,000","3,976,916,000","16,110,347,000","3,250,128,000","523,598,000",39.82%,0.82%,15.74%,0,
254,"ХЛЫНОВ, АО КБ",Active,2016,13.55%,6.32%,"12,496,649,000","4,968,978,000","12,769,270,000","2,651,979,000","347,158,000",67.60%,0.84%,8.51%,0,
254,"ХЛЫНОВ, АО КБ",Active,2017,15.99%,10.53%,"13,848,925,000","5,797,051,000","14,623,683,000","3,162,594,000","677,790,000",81.74%,1.43%,9.17%,0,
254,"ХЛЫНОВ, АО КБ",Active,2018,14.77%,9.01%,"13,762,587,000","6,639,753,000","14,932,879,000","3,405,538,000","541,100,000",74.01%,1.26%,6.37%,0,
254,"ХЛЫНОВ, АО КБ",Active,2019,14.54%,6.90%,"16,260,713,000","6,452,570,000","15,988,385,000","3,803,951,000","531,967,000",97.47%,1.03%,5.83%,0,
254,"ХЛЫНОВ, АО КБ",Active,2020,14.99%,8.50%,"17,558,473,000","7,709,492,000","16,984,907,000","3,909,714,000","648,941,000",96.15%,1.22%,4.70%,0,
254,"ХЛЫНОВ, АО КБ",Active,2021,14.80%,8.83%,"19,549,789,000","7,286,421,000","17,755,700,000","4,183,782,000","721,717,000",31.77%,1.24%,4.84%,0,
256,"ГУТА-БАНК, АО",Active,2016,50.74%,3.17%,"4,539,859,000","23,383,000","897,079,000","2,233,819,000","-419,578,000",15.37%,0.85%,22.43%,0,
256,"ГУТА-БАНК, АО",Active,2017,79.48%,25.65%,"1,256,523,000","1,114,665,000","647,171,000","3,223,889,000","1,100,777,000",7.39%,11.25%,44.87%,0,
256,"ГУТА-БАНК, АО",Active,2018,64.78%,1.59%,"1,431,830,000","3,761,964,000","2,679,204,000","3,328,011,000","88,004,000",6.76%,0.80%,39.05%,0,
256,"ГУТА-БАНК, АО",Active,2019,97.77%,1.76%,"2,554,676,000","2,881,579,000","1,531,001,000","3,355,564,000","127,016,000",5.74%,0.82%,27.67%,0,
256,"ГУТА-БАНК, АО",Active,2020,74.06%,-1.44%,"1,694,428,000","1,311,035,000","969,001,000","3,194,551,000","-97,126,000",15.46%,-0.63%,15.40%,0,
256,"ГУТА-БАНК, АО",Active,2021,57.72%,-0.83%,"1,801,956,000","680,689,000","563,147,000","2,426,841,000","-760,204,000",8.34%,-0.34%,11.02%,0,
272,"ИРС (АО), АКБ",Inactive,2016,53.57%,-3.25%,"1,241,607,000",0,"670,185,000","1,150,380,000","-22,500,000",6.36%,-1.44%,23.86%,0,
272,"ИРС (АО), АКБ",Inactive,2017,54.00%,-4.37%,"886,383,000",0,"531,936,000","1,003,813,000","-222,780,000",0.00%,-1.80%,59.28%,0,
272,"ИРС (АО), АКБ",Inactive,2018,66.75%,-8.67%,"845,145,000",0,"479,207,000","912,016,000","-97,333,000",0.00%,-3.35%,62.56%,0,
272,"ИРС (АО), АКБ",Inactive,2019,49.98%,-4.47%,"826,033,000",0,"532,970,000","825,757,000","-45,575,000",,-1.71%,63.83%,0,
272,"ИРС (АО), АКБ",Inactive,2020,51.12%,-6.68%,"872,186,000",0,"410,004,000","774,802,000","-101,463,000",,-2.28%,60.59%,0,
312,"ВОКБАНК, АО",Inactive,2016,,30.76%,"7,343,006,000","244,467,000","6,621,443,000","-2,448,651,000","-812,041,000",,-8.34%,46.91%,0,
312,"ВОКБАНК, АО",Inactive,2017,,-23.17%,"3,893,334,000","1,048,882,000","5,390,143,000","-1,822,492,000","771,293,000",,5.87%,62.21%,0,
312,"ВОКБАНК, АО",Inactive,2018,,-7.93%,"4,978,860,000","731,688,000","4,681,319,000","-1,810,229,000","149,781,000",,2.21%,48.11%,0,
316,"ХКФ БАНК, ООО",Active,2016,14.68%,1.08%,"174,677,103,000","25,683,564,000","168,222,855,000","53,502,346,000","6,966,194,000",35.15%,0.24%,6.91%,1,
316,"ХКФ БАНК, ООО",Active,2017,13.92%,12.31%,"194,914,043,000","51,015,677,000","200,237,011,000","51,475,034,000","14,389,039,000",36.47%,2.66%,4.04%,1,
316,"ХКФ БАНК, ООО",Active,2018,13.77%,11.21%,"218,104,028,000","37,751,471,000","206,786,008,000","48,721,478,000","11,917,196,000",45.04%,1.99%,3.59%,0,
316,"ХКФ БАНК, ООО",Active,2019,14.10%,21.19%,"238,260,698,000","23,069,228,000","195,695,188,000","60,279,197,000","17,910,460,000",42.15%,3.66%,4.45%,0,
316,"ХКФ БАНК, ООО",Active,2020,16.20%,3.12%,"195,313,081,000","21,392,144,000","151,588,994,000","58,357,766,000","4,222,940,000",47.13%,0.69%,6.81%,0,
316,"ХКФ БАНК, ООО",Active,2021,12.34%,8.81%,"269,928,285,000","16,668,808,000","207,433,585,000","57,979,362,000","9,910,175,000",63.83%,1.95%,4.25%,0,
323,"БИНБАНК, ПАО",Inactive,2016,13.86%,-14.91%,"812,399,286,000","190,576,628,000","668,566,989,000","96,859,413,000","6,971,775,000",8.79%,-1.28%,13.43%,0,
323,"БИНБАНК, ПАО",Inactive,2017,0.00%,-7.21%,"947,856,798,000","109,006,508,000","547,617,943,000","-36,295,486,000","30,500,652,000",0.00%,-0.46%,16.80%,0,
323,"БИНБАНК, ПАО",Inactive,2018,13.68%,94.30%,"208,059,498,000","116,215,616,000","414,374,694,000","61,346,674,000",0,11.43%,5.20%,15.33%,0,
328,"АБ РОССИЯ, АО",Active,2016,12.15%,3.69%,"457,039,967,000","223,084,603,000","367,982,486,000","71,863,444,000","5,660,458,000",29.93%,0.38%,2.40%,1,
328,"АБ РОССИЯ, АО",Active,2017,12.01%,5.22%,"533,096,573,000","258,698,893,000","424,003,931,000","81,303,974,000","6,004,256,000",40.36%,0.51%,2.99%,0,
328,"АБ РОССИЯ, АО",Active,2018,12.18%,5.14%,"648,274,669,000","252,029,906,000","573,869,296,000","79,546,769,000","5,938,781,000",36.27%,0.45%,2.20%,0,
328,"АБ РОССИЯ, АО",Active,2019,12.82%,7.24%,"581,467,156,000","322,067,602,000","479,229,428,000","85,686,399,000","11,077,537,000",41.39%,0.59%,2.55%,0,
328,"АБ РОССИЯ, АО",Active,2020,11.63%,9.88%,"630,929,508,000","235,932,238,000","496,587,217,000","91,109,688,000","16,060,859,000",44.62%,0.83%,4.36%,0,
328,"АБ РОССИЯ, АО",Active,2021,12.46%,7.15%,"772,163,173,000","243,403,294,000","652,203,918,000","114,323,464,000","13,306,434,000",49.89%,0.62%,3.26%,1,
354,БАНК ГПБ (АО),Active,2016,13.92%,2.26%,"3,715,874,035,000","735,956,084,000","2,401,562,321,000","689,640,763,000","118,032,100,000",48.79%,0.26%,2.10%,1,
354,БАНК ГПБ (АО),Active,2017,12.75%,4.42%,"4,009,249,069,000","816,967,647,000","3,137,800,619,000","705,373,903,000","50,155,204,000",59.45%,0.54%,1.98%,1,
354,БАНК ГПБ (АО),Active,2018,11.20%,3.74%,"4,600,315,455,000","829,695,748,000","3,806,966,248,000","697,604,754,000","29,703,388,000",54.60%,0.44%,2.18%,1,
354,БАНК ГПБ (АО),Active,2019,11.95%,4.75%,"4,809,683,456,000","798,885,927,000","4,012,147,972,000","769,543,561,000","62,002,843,000",53.28%,0.58%,2.42%,1,
354,БАНК ГПБ (АО),Active,2020,12.29%,3.02%,"5,431,184,664,000","739,320,531,000","4,545,545,573,000","778,818,889,000","76,769,358,000",56.25%,0.32%,2.97%,1,
354,БАНК ГПБ (АО),Active,2021,11.86%,8.85%,"6,412,687,695,000","662,190,234,000","5,295,807,364,000","859,965,083,000","109,055,943,000",59.85%,0.91%,2.05%,1,
356,"ВИТАБАНК, АО",Active,2016,14.77%,4.98%,"2,595,132,000","940,742,000","3,616,441,000","554,836,000","58,715,000",46.63%,0.51%,4.68%,0,
356,"ВИТАБАНК, АО",Active,2017,16.29%,-2.97%,"1,858,703,000","695,313,000","2,606,103,000","475,524,000","-76,466,000",56.76%,-0.30%,9.53%,0,
356,"ВИТАБАНК, АО",Active,2018,17.50%,-3.49%,"1,451,041,000","270,332,000","2,443,899,000","447,401,000","-11,956,000",,-0.41%,16.25%,0,
356,"ВИТАБАНК, АО",Active,2019,22.77%,-6.01%,"965,033,000","564,926,000","1,431,236,000","395,432,000","-41,885,000",,-0.90%,26.69%,0,
356,"ВИТАБАНК, АО",Active,2020,19.46%,1.30%,"898,327,000","632,086,000","1,270,592,000","337,086,000","-48,305,000",,0.18%,32.08%,0,
356,"ВИТАБАНК, АО",Active,2021,25.28%,4.73%,"701,985,000","129,949,000","962,679,000","338,164,000","21,447,000",,0.66%,46.67%,0,
370,"НОВЫЙ СИМВОЛ (АО), БАНК",Inactive,2016,20.99%,8.48%,"776,622,000","24,380,000","519,455,000","357,733,000","50,206,000",79.39%,1.12%,1.13%,0,
415,"АВЕРС, ООО БАНК",Reorganizing,2016,28.54%,5.78%,"62,959,002,000","26,604,716,000","66,303,603,000","21,333,440,000","2,668,208,000",58.23%,1.02%,0.13%,0,
415,"АВЕРС, ООО БАНК",Reorganizing,2017,28.60%,6.13%,"62,993,396,000","35,471,571,000","79,128,193,000","22,847,945,000","2,834,931,000",34.36%,1.05%,0.08%,0,
415,"АВЕРС, ООО БАНК",Reorganizing,2018,34.03%,5.45%,"72,587,515,000","31,327,380,000","72,373,526,000","23,191,418,000","2,421,925,000",29.68%,1.05%,0.19%,0,
